,Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
382491,Guatemala,GTM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,58.501091003418
400816,Honduras,HND,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,83.7410507202148
419141,Indonesia,IDN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,83.7019424438477
459456,Kenya,KEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,62.8227195739746
496106,Lesotho,LSO,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,88.9549179077148
499771,Liberia,LBR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,36.399730682373
514431,Luxembourg,LUX,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,116.26538848876999
532756,Malaysia,MYS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,84.8274307250977
554746,Mauritius,MUS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,95.8805084228516
598726,Nepal,NPL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,25.8029594421387
609721,New Zealand,NZL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,110.01024627685499
613386,Nicaragua,NIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,67.15020751953129
620716,Nigeria,NGA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,40.8413314819336
642706,Panama,PAN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,99.5399017333984
646371,Papua New Guinea,PNG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,50.0483207702637
650036,Paraguay,PRY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,98.8223190307617
653701,Peru,PER,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,104.86376953125
686686,Samoa,WSM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,82.8237686157227
708676,Seychelles,SYC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,103.37329864501999
730666,Solomon Islands,SLB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,74.0031967163085
737996,South Africa,ZAF,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,96.9475936889648
748991,Sri Lanka,LKA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,101.31536865234399
774646,Swaziland,SWZ,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,77.9050064086914
792971,Tanzania,TZA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,33.8229293823242
807631,Tonga,TON,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,110.845687866211
833286,Uganda,UGA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,39.6142616271973
851611,Uruguay,URY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,112.094360351563
858941,Vanuatu,VUT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,123.14440155029301
880931,Zambia,ZMB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,89.1425399780273
884596,Zimbabwe,ZWE,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,72.4112167358398
888261,Arab World,ARB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,66.72052001953129
891926,East Asia & Pacific,EAS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,102.538543701172
895591,East Asia & Pacific (excluding high income),EAP,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,102.421943664551
899256,Euro area,EMU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,107.15503692626999
902921,Europe & Central Asia,ECS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.060829162598
906586,Europe & Central Asia (excluding high income),ECA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.15225982666
910251,European Union,EUU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.53288269043001
913916,Heavily indebted poor countries (HIPC),HPC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,49.371498107910206
917581,High income,HIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,99.65711212158199
921246,Latin America & Caribbean,LCN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,106.27223968505899
924911,Latin America & Caribbean (excluding high income),LAC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.240112304688
928576,Least developed countries: UN classification,LDC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,50.2333106994629
932241,Low & middle income,LMY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,86.95745849609379
935906,Low income,LIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,46.0524215698242
939571,Lower middle income,LMC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,76.1126708984375
943236,Middle East & North Africa,MEA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,72.07676696777341
946901,Middle East & North Africa (excluding high income),MNA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,72.4198303222656
950566,Middle income,MIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,90.70233154296879
954231,North America,NAC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,89.89364624023442
957896,OECD members,OED,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,100.610549926758
961561,South Asia,SAS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,72.2793884277344
965226,Sub-Saharan Africa,SSF,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,54.595630645752
968891,Sub-Saharan Africa (excluding high income),SSA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,54.5864105224609
972556,Upper middle income,UMC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,104.659843444824
976221,World,WLD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,89.3427276611328
979886,Afghanistan,AFG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,32.210338592529205
987216,Algeria,DZA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,74.0155334472656
998211,Angola,AGO,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,58.72721862792971
1001876,Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,80.7281188964844
1005541,Argentina,ARG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,106.378959655762
1016536,Australia,AUS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,110.80623626709
1020201,Austria,AUT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,103.42913818359399
1027531,"Bahamas, The",BHS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,101.795722961426
1031196,Bahrain,BHR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,106.489326477051
1034861,Bangladesh,BGD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,51.151611328125
1038526,Barbados,BRB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,102.38600921630899
1042191,Belarus,BLR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,98.9335174560547
1045856,Belgium,BEL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,107.663017272949
1049521,Belize,BLZ,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,113.39898681640601
1053186,Benin,BEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,34.5107002258301
1056851,Bermuda,BMU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,100.364463806152
1060516,Bhutan,BTN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,20.1260604858398
1064181,Bolivia,BOL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,84.8860397338867
1071511,Botswana,BWA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,55.199249267578104
1082506,Brunei Darussalam,BRN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,132.998886108398
1086171,Bulgaria,BGR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,106.238647460938
1089836,Burkina Faso,BFA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,12.205590248107901
1093501,Burundi,BDI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,28.3964004516602
1097166,Cabo Verde,CPV,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,56.998138427734396
1100831,Cambodia,KHM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,27.614620208740202
1104496,Cameroon,CMR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,89.3826217651367
1108161,Canada,CAN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,102.41980743408199
1115491,Central African Republic,CAF,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,64.87484741210939
1119156,Chad,TCD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,32.3830795288086
1126486,Chile,CHL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,128.835586547852
1130151,China,CHN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,108.300811767578
1133816,Colombia,COL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.122596740723
1137481,Comoros,COM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,39.1064796447754
1141146,"Congo, Dem. Rep.",COD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,96.4903030395508
1144811,"Congo, Rep.",COG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,112.733558654785
1148476,Costa Rica,CRI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,107.28504180908199
1152141,Cote d'Ivoire,CIV,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,62.115299224853494
1159471,Cuba,CUB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,116.629493713379
1166801,Cyprus,CYP,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,87.8445281982422
1170466,Czech Republic,CZE,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,123.33509063720699
1174131,Denmark,DNK,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,95.907859802246
1177796,Djibouti,DJI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,24.621400833129897
1181461,Dominica,DMA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,129.16516113281298
1185126,Dominican Republic,DOM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,94.3434829711914
1188791,Ecuador,ECU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,97.5615615844727
1192456,"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,69.2794036865234
1196121,El Salvador,SLV,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,84.9729690551758
1199786,Equatorial Guinea,GNQ,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,90.9326400756835
1210781,Ethiopia,ETH,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,15.0295400619507
1218111,Fiji,FJI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,109.989059448242
1221776,Finland,FIN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,81.808982849121
1225441,France,FRA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,116.033546447754
1232771,Gabon,GAB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,138.961776733398
1236436,"Gambia, The",GMB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,28.401460647582997
1247431,Ghana,GHA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,67.19052886962889
1254761,Greece,GRC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,107.10588073730499
1262091,Grenada,GRD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,124.14624786376999
1269421,Guatemala,GTM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,59.5848388671875
1273086,Guinea,GIN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,30.5480003356934
1276751,Guinea-Bissau,GNB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,27.4104404449463
1280416,Guyana,GUY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,96.6412124633789
1284081,Haiti,HTI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,50.0916900634766
1287746,Honduras,HND,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,83.5798110961914
1295076,Hungary,HUN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,97.9781112670898
1298741,Iceland,ISL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,98.1683731079102
1302406,India,IND,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,78.8656311035156
1306071,Indonesia,IDN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,84.8663787841797
1309736,"Iran, Islamic Rep.",IRN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,71.6603317260742
1313401,Iraq,IRQ,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,70.9358367919922
1317066,Ireland,IRL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,109.17662811279301
1328061,Italy,ITA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,108.549697875977
1331726,Jamaica,JAM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,106.51177978515601
1335391,Japan,JPN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,100.137001037598
1339056,Jordan,JOR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,102.795196533203
1346386,Kenya,KEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,64.6843490600585
1350051,Kiribati,KIR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,103.257843017578
1357381,"Korea, Rep.",KOR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.66832733154301
1364711,Kuwait,KWT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,88.2903823852539
1372041,Lao PDR,LAO,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,58.218921661377
1379371,Lebanon,LBN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,135.93815612793
1383036,Lesotho,LSO,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,85.104881286621
1386701,Liberia,LBR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,37.61777877807621
1390366,Libya,LBY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,102.157051086426
1401361,Luxembourg,LUX,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,110.811592102051
1405026,"Macao SAR, China",MAC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,59.055660247802706
1412356,Madagascar,MDG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,86.1156005859375
1416021,Malawi,MWI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,40.436798095703104
1427016,Mali,MLI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,23.4071197509766
1430681,Malta,MLT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,104.953842163086
1438011,Mauritania,MRT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,14.1653499603271
1441676,Mauritius,MUS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,95.9867706298828
1445341,Mexico,MEX,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,101.90062713623001
1449006,"Micronesia, Fed. Sts.",FSM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,214.000564575195
1460001,Mongolia,MNG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,108.90228271484399
1467331,Morocco,MAR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,48.3758392333984
1470996,Mozambique,MOZ,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,38.9571418762207
1474661,Myanmar,MMR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,84.7155303955078
1489321,Netherlands,NLD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,101.479537963867
1496651,New Zealand,NZL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,108.055763244629
1500316,Nicaragua,NIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,70.09738922119139
1503981,Niger,NER,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,11.725720405578599
1507646,Nigeria,NGA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,44.313201904296896
1514976,Norway,NOR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,103.80519866943399
1518641,Oman,OMN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,2.83067989349365
1522306,Pakistan,PAK,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,49.2040214538574
1529636,Panama,PAN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,109.040962219238
1533301,Papua New Guinea,PNG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,50.009578704834006
1536966,Paraguay,PRY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,99.89846801757808
1540631,Peru,PER,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,105.34496307373001
1544296,Philippines,PHL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,113.301040649414
1547961,Poland,POL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,98.4224700927734
1551626,Portugal,PRT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,112.960731506348
1555291,Puerto Rico,PRI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,116.40910339355499
1558956,Qatar,QAT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,107.984756469727
1562621,Romania,ROU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,114.532661437988
1566286,Russian Federation,RUS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,104.64370727539101
1569951,Rwanda,RWA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,64.66021728515629
1573616,Samoa,WSM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,82.6007919311523
1580946,Sao Tome and Principe,STP,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,111.10015869140601
1588276,Senegal,SEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,39.1293296813965
1595606,Seychelles,SYC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,106.68856048584
1599271,Sierra Leone,SLE,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,39.197441101074205
1617596,Solomon Islands,SLB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1971-01-01,84.2119369506835
